BIN,Address,Borough,Management Company,Owner Name,Loss of Service % (30d),Recent Complaints (30d),AI Headline
2006563,720 HUNTS POINT AVENUE,Bronx,710 HUNTS POINT EQUITIES LLC,710 HUNTS POINT EQUITIES LLC,0.00%,0,Chronic Elevator Malfunctions at 720 HUNTS POINT AVENUE Demand Immediate and Comprehensive Intervention
2114126,1150 INTERVALE AVENUE,Bronx,"INTERVALE AVENUE IIASSOICATES, L.P.","INTERVALE AVENUE IIASSOICATES, L.P.",0.00%,0,Executive Summary: High Risk of Persistent Elevator Malfunctions at 1150 Intervale Avenue Demands Immediate Action
2113135,870 SOUTHERN BOULEVARD,Bronx,TIFFANY GARDENS HDFC,TIFFANY GARDENS HDFC,0.00%,0,Executive Summary: Elevated Risk and Urgent Action Required for 870 Southern Boulevard Elevators
2010798,1662 VYSE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Persistent Elevator Malfunctions and Urgent Reports at 1662 VYSE AVENUE Demand Immediate Intervention
2010883,1690 BRYANT AVENUE,Bronx,"MBP HDFC, AS NOMINEE FOR MID-BRONX PLAZA","MBP HDFC, AS NOMINEE FOR MID-BRONX PLAZA",0.00%,0,Elevator Service at 1690 Bryant Avenue Requires Urgent Proactive Intervention
2102490,870 EAST 162 STREET,Bronx,GEEL EAST 162ND STREET HOUSING DEVELOPME NT FUND,GEEL EAST 162ND STREET HOUSING DEVELOPME NT FUND,0.00%,0,Elevator Performance Review: Persistent Issues at 870 EAST 162 STREET Warrant Proactive Intervention
2010885,1715 LONGFELLOW AVENUE,Bronx,1712 & 1715 HDFC INC,1712 & 1715 HDFC INC,0.00%,0,Persistent Elevator Malfunctions at 1715 LONGFELLOW AVENUE Warrant Urgent Intervention
2127129,600 BERGEN AVENUE,Bronx,COMUNILIFE LA CENTRAL HOUSING DEV. FUND  CORP.,COMUNILIFE LA CENTRAL HOUSING DEV. FUND  CORP.,0.00%,0,Elevator Operations at 600 Bergen Avenue: Urgent Intervention Required Amidst Persistent Failures
2092903,1420 BRONX RIVER AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Reliability Concerns at 1420 Bronx River Avenue Warrant Immediate Action
2025350,1245 STRATFORD AVENUE,Bronx,1255 STRATFORD LLC,1255 STRATFORD LLC,0.00%,0,Critical Elevator Safety Concerns at 1245 Stratford Avenue Require Immediate Intervention
2114617,1068 FRANKLIN AVENUE,Bronx,1068 FRANKLIN AVE HOUSING DEVELOPMENT FU ND CORP,1068 FRANKLIN AVE HOUSING DEVELOPMENT FU ND CORP,0.28%,1,Elevator Service at 1068 FRANKLIN AVENUE Exhibiting Critical Deterioration and High Tenant Frustration
2091224,765 COURTLANDT AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 765 Courtlandt Avenue: Chronic Issues Demand Immediate Intervention
2114693,967 KELLY STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator System at 967 KELLY STREET Requires Urgent Intervention Due to Chronic Failures and High Tenant Frustration
2005729,784 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y,  INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y,  INC.",0.00%,0,Persistent Elevator Malfunctions at 784 FOX STREET Demand Proactive Intervention
2128501,1081 TIFFANY STREET,Bronx,"1081 TIFFANY STREET, LLC","1081 TIFFANY STREET, LLC",0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 1081 TIFFANY STREET Demand Urgent Intervention
2127408,1344 CLINTON AVENUE,Bronx,1344 CLINTON AVE. HOUSING DEVELOPMENT,1344 CLINTON AVE. HOUSING DEVELOPMENT,0.00%,0,Persistent Elevator Malfunctions and Tenant Frustration at 1344 Clinton Avenue Indicate Systemic Maintenance Issues
2120352,1150 TIFFANY STREET,Bronx,NYC HOUSING DEVELOPMENT CORP,NYC HOUSING DEVELOPMENT CORP,0.56%,2,"Chronic Elevator Malfunctions Persist at 1150 Tiffany Street, Demanding Urgent Intervention"
2116624,491 EAST 162 STREET,Bronx,"THE DOE FUND, INC.","THE DOE FUND, INC.",0.00%,0,CRITICAL: Chronic Elevator Malfunctions at 491 EAST 162 STREET Demand Immediate Intervention Amidst High Tenant Frustration
2001467,464 EAST 159 STREET,Bronx,"LONGFELLOW-HALL HOUSING DEV. FUND COMP., INC.","LONGFELLOW-HALL HOUSING DEV. FUND COMP., INC.",0.00%,0,Urgent Action Required: Persistent Elevator Malfunctions at 464 East 159 Street Posing High Risk
2097025,445 EAST 148 STREET,Bronx,GS 149 LLC,GS 149 LLC,0.00%,0,Executive Summary: Elevator Status at 445 East 148 Street - Proactive Monitoring Advised Amidst Tenant Concerns
2004892,1215 UNION AVENUE,Bronx,ALCOR ASSOCIATES L.P.,ALCOR ASSOCIATES L.P.,0.00%,0,"Chronic Elevator Malfunctions Plague 1215 UNION AVENUE, Tenants Express Deep Frustration Amidst Recurring Issues"
2130561,661 MANIDA STREET,Bronx,661 MANIDA STREET LLC,661 MANIDA STREET LLC,0.00%,0,Elevator Reliability Crisis at 661 MANIDA STREET: Urgent Intervention Required
2116212,429 EAST 156 STREET,Bronx,156TH ST ASSOCIATES LLC,156TH ST ASSOCIATES LLC,0.28%,1,Executive Summary: Escalating Elevator Malfunctions and High Tenant Frustration at 429 EAST 156 STREET
2102501,3103 3 AVENUE,Bronx,LA PUERTA DE VITALIDAD HOUSING DEVELOPME NT FUND CO,LA PUERTA DE VITALIDAD HOUSING DEVELOPME NT FUND CO,0.00%,0,Elevator System at 3103 3 AVENUE Requires Immediate and Comprehensive Intervention
2117695,780 ST ANNS AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator System at 780 ST ANNS AVENUE: Urgent Need for Comprehensive Intervention
2117344,706 BROOK AVENUE,Bronx,VIA VERDE CONDOMINIUM,VIA VERDE CONDOMINIUM,0.00%,0,Critical Elevator Safety and Reliability Concerns at 706 BROOK AVENUE
2116976,890 COURTLANDT AVENUE,Bronx,COURTLANDT CORNERS II ASSOCIATES LP,COURTLANDT CORNERS II ASSOCIATES LP,0.00%,0,Critical Elevator Failures at 890 Courtlandt Avenue Demand Urgent Intervention
2006227,1016 BRYANT AVENUE,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.28%,1,Elevator Reliability Crisis Persists at 1016 Bryant Avenue with Active Complaint and Growing Tenant Frustration
2114108,1022 REV JAMES A POLITE AVENUE,Bronx,CHICA HOUSING DEVELOPMENT FUND CORPORATI ON,CHICA HOUSING DEVELOPMENT FUND CORPORATI ON,0.00%,0,Critical Elevator Reliability Concerns at 1022 Rev James A Polite Avenue Require Immediate Intervention
2001204,502 EAST 161 STREET,Bronx,LIBERTY SQUARE REALTY CORP,LIBERTY SQUARE REALTY CORP,0.00%,0,Elevator System at 502 EAST 161 STREET Requires Immediate Intervention Due to Persistent Malfunctions and High Historical Failure Rate
2127760,1702 BRYANT AVENUE,Bronx,"BRYANT MANOR, LLC","BRYANT MANOR, LLC",0.00%,0,Executive Summary: Elevator Performance and Tenant Concerns at 1702 Bryant Avenue
2005057,1200 UNION AVENUE,Bronx,ALCOR ASSOCIATES L.P.,ALCOR ASSOCIATES L.P.,0.00%,0,Elevator Crisis at 1200 Union Avenue: Severe Chronic Malfunctions Demand Immediate Action
2115281,871 WESTCHESTER AVENUE,Bronx,WESTCHESTER TRIANGLE LLC,WESTCHESTER TRIANGLE LLC,0.00%,0,Elevator Reliability Crisis at 871 Westchester Avenue Demands Immediate Intervention
2009747,1293 BOSTON ROAD,Bronx,"SIMCHAH BOSTON, LLC","SIMCHAH BOSTON, LLC",0.00%,0,Elevator System at 1293 BOSTON ROAD Requires Immediate Intervention Due to Persistent Malfunctions and High Tenant Frustration
2116171,455 EAST 148 STREET,Bronx,BROOK AVENUE HOUSING DEVELOPMENT FUND CO RPORATION,BROOK AVENUE HOUSING DEVELOPMENT FUND CO RPORATION,0.00%,0,Elevator System at 455 EAST 148 STREET Faces High Risk Due to Persistent Malfunctions and Escalating Tenant Frustration
2114113,1360 CLINTON AVENUE,Bronx,"CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.","CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.",0.00%,0,Elevator Reliability at 1360 Clinton Avenue: Elevated Risk Due to Chronic Failures and Data Inconsistencies
2005542,753 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.00%,0,Elevator System at 753 FOX STREET: Chronic Issues and Heightened Tenant Frustration Demand Immediate Action
2129154,600 EAST 156 STREET,Bronx,600 EAST 156TH STREET HOUSING DEV. FUND  CORP.,600 EAST 156TH STREET HOUSING DEV. FUND  CORP.,0.00%,0,Elevator Service Concerns at 600 EAST 156 STREET Require Proactive Intervention
2006567,750 BRYANT AVENUE,Bronx,"BK BRYANT AVENUE HDFC, INC.","BK BRYANT AVENUE HDFC, INC.",0.28%,1,Elevator System at 750 Bryant Avenue Poses Critical Risk Due to Persistent Failures and Active Complaints
2006105,1013 BRYANT AVENUE,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Executive Summary: Elevator Performance Assessment for 1013 BRYANT AVENUE
2126608,1660 BOSTON ROAD,Bronx,RAINBOW DEVELOPMENT LLC,RAINBOW DEVELOPMENT LLC,0.00%,0,Executive Summary: Elevator Performance and Advocacy at 1660 BOSTON ROAD
2116644,488 EAST 163 STREET,Bronx,BORICUA VILLAGE HOUSING DVLMNT FUND,BORICUA VILLAGE HOUSING DVLMNT FUND,0.00%,0,Building 488 EAST 163 STREET: Chronic Elevator Malfunctions Demand Urgent Intervention
2004293,595 EAST 167 STREET,Bronx,590 FIVE CORP.,590 FIVE CORP.,0.00%,0,Chronic Elevator Malfunctions and Tenant Frustration at 595 EAST 167 STREET Demand Immediate Intervention
2006107,999 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Elevator Reliability Crisis at 999 Aldus Street Demands Immediate Intervention
2114612,401 EAST 157 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,Critical Elevator Reliability Issues at 401 EAST 157 STREET Demand Immediate Action
2006460,1314 SENECA AVENUE,Bronx,"CHILLUM PLACE, L.L.C.","CHILLUM PLACE, L.L.C.",0.00%,0,Building 1314 SENECA AVENUE: Chronic Elevator Failures and High Safety Risk Demand Immediate Intervention
2010935,1700 LONGFELLOW AVENUE,Bronx,LONGFELLOW AVENUE HOUSING DEVELOPMENT FU ND COMPANY,LONGFELLOW AVENUE HOUSING DEVELOPMENT FU ND COMPANY,0.00%,0,Urgent Elevator System Review Required for 1700 Longfellow Avenue
2116875,1710 VYSE AVENUE,Bronx,1710 VYSE AVENUE HOUSING DEVELOPMENT FUN D CORPORAT,1710 VYSE AVENUE HOUSING DEVELOPMENT FUN D CORPORAT,0.28%,1,Critical Elevator Malfunctions at 1710 VYSE AVENUE Demand Immediate Intervention
2006508,739 COSTER STREET,Bronx,PHOENIX ESTATES HDFC,PHOENIX ESTATES HDFC,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 739 Coster Street Warrant Proactive Intervention
2005096,680 BECK STREET,Bronx,BECK ST. LLC,BECK ST. LLC,0.00%,0,Critical Elevator Issues at 680 BECK STREET Demand Immediate Intervention
2116192,1015 FOX STREET,Bronx,WESTCHESTER GARDENS L.P.,WESTCHESTER GARDENS L.P.,0.00%,0,Critical Elevator Malfunctions at 1015 FOX STREET Demand Immediate Intervention Amidst Severe Tenant Frustration
2005105,942 AVENUE ST JOHN,Bronx,GURU HOLDING LLC,GURU HOLDING LLC,0.00%,0,Elevator Maintenance Review for 942 AVENUE ST JOHN: Moderate Risk and Tenant Frustration Identified
2005634,940 TIFFANY STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Urgent Intervention Required for Chronic Elevator Failures at 940 Tiffany Street
2006080,990 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Persistent Elevator Malfunctions at 990 Aldus Street Require Immediate Intervention
2119382,920 WESTCHESTER AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator System at 920 Westchester Avenue: High Risk Due to Recurring Failures and Active Incident
2126620,912 COURTLANDT AVENUE,Bronx,COURTLANDT CRESCENT HDFC,COURTLANDT CRESCENT HDFC,0.00%,0,Elevator Reliability at 912 Courtlandt Avenue: Urgent Intervention Required Amidst Persistent Failures and High Tenant Frustration
2006246,1025 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Critical Report: Persistent Elevator Malfunctions and Systemic Reliability Concerns at 1025 ALDUS STREET
2005012,830 EAST 163 STREET,Bronx,919 PROSPECT AVENUE LLC,919 PROSPECT AVENUE LLC,0.00%,0,Critical Elevator Service Failure and Tenant Disruption at 830 EAST 163 STREET
2117123,1468 HOE AVENUE,Bronx,UNION GROVE HOUSING DEVELOPMENT FUND COR P.,UNION GROVE HOUSING DEVELOPMENT FUND COR P.,0.28%,1,Critical Elevator Malfunctions at 1468 HOE AVENUE Demand Immediate Proactive Intervention
2102389,950 JENNINGS STREET,Bronx,HAT PARTNERS LLC,HAT PARTNERS LLC,0.00%,0,"Elevator Service at 950 JENNINGS STREET Shows Historical Instability with Recent Improvement, Yet Tenant Frustration Persists"
2129155,1007 UNION AVENUE,Bronx,HP VICTORY COMMONS HOUSING DEVELOPMENT F UND COMPAN,HP VICTORY COMMONS HOUSING DEVELOPMENT F UND COMPAN,0.00%,0,Urgent Action Required for Persistent Elevator Failures at 1007 UNION AVENUE
2114127,825 EAST 170 STREET,Bronx,HP 360 PRESERVATION HOUSING DEVELOPMENT  FUND,HP 360 PRESERVATION HOUSING DEVELOPMENT  FUND,0.00%,0,Elevator Reliability Concerns Persist at 825 EAST 170 STREET Amidst Chronic Breakdowns and Seasonal Vulnerabilities
2128398,1812 VYSE AVENUE,Bronx,VIA VYSE PARTNERSHIP HOUSING DEVELOPMENT FUND COMP,VIA VYSE PARTNERSHIP HOUSING DEVELOPMENT FUND COMP,0.00%,0,Chronic Elevator Malfunctions at 1812 VYSE AVENUE Demand Immediate Proactive Intervention
2023771,1130 EVERGREEN AVENUE,Bronx,1126-1130 EVERGREEN AVE. LLC,1126-1130 EVERGREEN AVE. LLC,0.00%,0,Persistent Elevator Failures at 1130 Evergreen Avenue Demand Immediate Intervention
2010492,1345 SOUTHERN BOULEVARD,Bronx,DON LW LLC,DON LW LLC,0.00%,0,Critical Deterioration of Elevator Reliability at 1345 SOUTHERN BOULEVARD Demands Immediate Intervention
2115818,249 EAST 153 STREET,Bronx,"SENIOR LIVING OPTIONS, INC.","SENIOR LIVING OPTIONS, INC.",0.28%,1,Building 249 East 153 Street Elevators: Chronic Failures and Anticipated Serious Issues Demand Urgent Intervention
2027509,1340 STRATFORD AVENUE,Bronx,1340 STRATFORD OWNER LLC,1340 STRATFORD OWNER LLC,0.00%,0,Critical Elevator Reliability Concerns at 1340 Stratford Avenue Demand Immediate Intervention
2010481,1310 INTERVALE AVENUE,Bronx,HERBERT L BROOKS HSNG/ET,HERBERT L BROOKS HSNG/ET,0.00%,0,Persistent Elevator Failures at 1310 Intervale Avenue Warrant Urgent Intervention
2091242,601 MORRIS AVENUE,Bronx,CHRISTOPHER COURT HOUSING CO,CHRISTOPHER COURT HOUSING CO,0.00%,0,Critical Elevator Safety and Operational Concerns at 601 Morris Avenue Demand Immediate Intervention
2010454,870 FREEMAN STREET,Bronx,VIP FREEMAN HOUSING,VIP FREEMAN HOUSING,0.00%,0,Critical Elevator Issues Demand Immediate Attention at 870 Freeman Street
2005569,783 BECK STREET,Bronx,783 BECK ST. HSING DVLPM,783 BECK ST. HSING DVLPM,0.00%,0,Critical Escalation of Elevator Malfunctions at 783 BECK STREET Demands Immediate Intervention
2091956,731 EAST 161 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Persistent Elevator Inspection Non-Compliance at 731 EAST 161 STREET Poses Moderate Risk
2128618,1351 BOSTON ROAD,Bronx,1351 BOSTON ROAD HOUSING DEVELOPMENT,1351 BOSTON ROAD HOUSING DEVELOPMENT,0.00%,0,Elevator System at 1351 BOSTON ROAD Requires Immediate Intervention Due to Chronic Failures
2000898,338 EAST 149 STREET,Bronx,332 E LLC,332 E LLC,0.00%,0,Executive Summary for Elevator Service at 338 EAST 149 STREET: Proactive Monitoring Recommended Amidst Limited Historical Incidents
2010675,1717 VYSE AVENUE,Bronx,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,0.28%,1,Persistent Elevator Malfunctions at 1717 VYSE AVENUE Necessitate Proactive Monitoring and Intervention
2006021,1058 SOUTHERN BOULEVARD,Bronx,SOUTHERN 634 LLC,SOUTHERN 634 LLC,0.00%,0,Executive Summary: Persistent Elevator Issues at 1058 SOUTHERN BOULEVARD Require Urgent Attention
2005213,980 PROSPECT AVENUE,Bronx,"980 PROSPECT OWNER, LLC","980 PROSPECT OWNER, LLC",0.28%,1,Critical Elevator Malfunctions at 980 Prospect Avenue Demand Immediate Intervention and Proactive Maintenance Strategy
2128691,1224 PROSPECT AVENUE,Bronx,PROSPECT COURT HOUSING LLC,PROSPECT COURT HOUSING LLC,0.00%,0,Persistent Elevator Malfunctions at 1224 Prospect Avenue Require Immediate Intervention
2118006,1817 WEST FARMS ROAD,Bronx,1815 WEST FARMS HOUSING DEVELOPMENT FUND CORPORATI,1815 WEST FARMS HOUSING DEVELOPMENT FUND CORPORATI,0.28%,1,Critical Elevator Safety and Operational Failures Persist at 1817 West Farms Road
2004134,588 TIMPSON PLACE,Bronx,TIMPSON PLACE ASSOCIATES LLC,TIMPSON PLACE ASSOCIATES LLC,0.00%,0,Executive Summary: Elevator Status and Recommendations for 588 Timpson Place
2091957,750 EAST 163 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 750 EAST 163 STREET Requires Urgent Intervention Due to Persistent Malfunctions
2116169,820 SAINT ANNS AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Critical Elevator Safety and Maintenance Deficiencies at 820 Saint Anns Avenue Demand Immediate Intervention
